Date,COVID_Patients,COVID_ICUPatients,Bed_Occupancy,Link,
2021-09-20,1523,400,78%,"https://web.archive.org/web/20210920200618/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-09-27,1635,422,78%,"https://web.archive.org/web/20210928143117/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-09-30,1703,433,82%,"https://web.archive.org/web/20211002220334/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-10-04,1823,469,79%,"https://web.archive.org/web/20211005173837/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-10-07,1967,488,83%,"https://web.archive.org/web/20211010220659/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-10-11,2133,548,79%,"https://web.archive.org/web/20211012142525/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-10-14,2186,532,83%,"https://web.archive.org/web/20211019162117/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-10-25,2240,581,79%,"https://web.archive.org/web/20211026134522/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-11-01,2297,578,80%,"https://web.archive.org/web/20211104190027/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-11-08,2731,602,82%,"https://web.archive.org/web/20211109145558/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-11-15,3219,698,82%,"https://web.archive.org/web/20211116144221/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-11-22,3938,848,83%,"https://web.archive.org/web/20211123151532/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-11-29,4513,917,83%,"https://web.archive.org/web/20211130144118/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-12-06,4549,988,84%,"https://web.archive.org/web/20211209191210/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-12-09,4698,981,86%,"https://web.archive.org/web/20211213151518/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-12-13,4736,"1,033",84%,"https://web.archive.org/web/20211214154855/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-12-20,4070,970,82%,"https://web.archive.org/web/20211221154823/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-12-23,3750,882,82%,"http://web.archive.org/web/20211226235529/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2021-12-27,3839,860,78%,"http://web.archive.org/web/20211228234842/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2022-01-03,4197,792,81%,"https://web.archive.org/web/20220104161936/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2022-01-10,4896,848,82%,"https://web.archive.org/web/20220110211432/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
2022-01-17,4694,801,81%,"https://web.archive.org/web/20220119202841/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html",
